Entity,Year,Outdoor air pollution,High systolic blood pressure,Diet low in whole grains ,Alcohol use, Diet low in fruits ,Secondhand smoke,Unsafe sex ,Diet low in nuts and seeds, Smoking,High fasting plasma glucose,Air pollution - Sex,High body-mass index,No access to handwashing facility,Drug use , Low bone mineral density ,Vitamin A deficiency , Child stunting - Sex: Both - Age: All Ages (Number), Discontinued breastfeeding,Non-exclusive breastfeeding
Cyprus,1990,403,1438,322,199,58,138,18,14,993,1268,409,500,2,11,55,0,0,0,1
Cyprus,1991,433,1519,338,211,63,142,18,15,1049,1343,438,530,2,11,58,0,0,0,1
Cyprus,1992,458,1583,351,219,68,146,19,16,1090,1412,462,559,2,12,61,0,0,0,1
Cyprus,1993,471,1610,357,223,71,149,19,17,1104,1445,474,579,2,12,63,0,0,0,1
Cyprus,1994,471,1598,356,225,72,149,19,17,1100,1441,474,587,2,13,63,0,0,0,0
Cyprus,1995,474,1601,357,231,74,150,19,17,1116,1451,476,601,2,14,63,0,0,0,0
Cyprus,1996,472,1595,355,237,75,149,19,17,1127,1446,473,608,2,15,63,0,0,0,0
Cyprus,1997,474,1607,359,245,77,150,19,17,1145,1458,474,621,2,15,64,0,0,0,0
Cyprus,1998,480,1646,367,257,80,153,19,18,1163,1494,480,640,2,16,67,0,0,0,0
Cyprus,1999,481,1663,371,255,82,155,20,19,1170,1509,481,653,2,16,68,0,0,0,0
Cyprus,2000,471,1624,364,261,81,152,20,18,1169,1474,470,651,2,17,68,0,0,0,0
Cyprus,2001,460,1588,357,264,79,149,20,19,1159,1440,459,648,2,17,68,0,0,0,0
Cyprus,2002,456,1579,356,272,79,149,21,19,1167,1432,455,656,2,17,69,0,0,0,0
Cyprus,2003,451,1569,355,276,79,150,22,19,1166,1422,449,663,2,17,70,0,0,0,0
Cyprus,2004,455,1586,361,288,80,152,23,20,1192,1438,453,677,2,16,71,0,0,0,0
Cyprus,2005,461,1624,369,303,82,155,24,21,1234,1471,459,695,2,19,77,0,0,0,0
Cyprus,2006,476,1669,377,304,85,158,25,22,1269,1511,473,715,2,20,75,0,0,0,0
Cyprus,2007,482,1681,380,309,86,159,25,23,1298,1518,480,725,2,22,75,0,0,0,0
Cyprus,2008,481,1641,369,303,85,155,26,23,1288,1482,478,711,2,22,74,0,0,0,0
Cyprus,2009,480,1613,363,303,85,152,26,23,1297,1455,477,698,2,23,74,0,0,0,0
Cyprus,2010,478,1602,356,300,85,149,27,24,1286,1436,475,691,2,23,75,0,0,0,0
Cyprus,2011,465,1581,347,292,84,146,28,23,1270,1408,462,681,2,22,75,0,0,0,0
Cyprus,2012,459,1570,341,288,85,144,28,23,1277,1392,455,678,2,22,74,0,0,0,0
Cyprus,2013,456,1578,341,289,87,144,29,24,1306,1397,452,686,2,23,75,0,0,0,0
Cyprus,2014,457,1616,347,291,90,146,31,24,1345,1426,453,702,2,25,77,0,0,0,0
Cyprus,2015,457,1655,355,295,93,148,32,25,1386,1452,453,717,2,26,78,0,0,0,0
Cyprus,2016,429,1660,355,296,94,148,32,25,1403,1447,425,721,2,28,79,0,0,0,0
Cyprus,2017,413,1688,361,298,96,150,32,25,1423,1467,410,738,2,28,80,0,0,0,0
Cyprus,2018,433,1753,376,316,99,155,33,26,1477,1528,429,767,2,29,91,0,0,0,0
Cyprus,2019,462,1835,393,333,102,160,33,28,1535,1606,458,802,2,30,99,0,0,0,0
Czechia,1990,13200,38191,6638,7475,3445,3427,648,3211,29123,22905,13622,18237,25,441,1799,0,3,0,10
Czechia,1991,12510,35934,6355,7209,3268,3246,640,3059,27644,22308,12889,17643,24,429,1734,0,3,0,10
Czechia,1992,12067,34428,6196,7151,3163,3145,632,2965,27028,21989,12409,17371,24,425,1654,0,3,0,9
Czechia,1993,11484,32650,5974,6899,3033,2989,615,2839,25924,21488,11782,16870,23,414,1608,0,2,0,8
Czechia,1994,11194,31768,5916,6966,2986,2927,597,2788,25680,21379,11458,16777,23,426,1588,0,2,0,6
Czechia,1995,11114,31585,5960,7025,2996,2917,609,2781,25696,21614,11350,17009,24,442,1616,0,2,0,6
Czechia,1996,10421,29889,5692,6899,2864,2768,577,2620,24780,20638,10624,16514,24,447,1512,0,1,0,5
Czechia,1997,10071,29518,5667,6980,2865,2710,581,2569,24616,20499,10261,16747,23,470,1450,0,1,0,4
Czechia,1998,9332,28039,5383,6824,2758,2544,558,2396,23523,19618,9504,16301,22,471,1341,0,1,0,4
Czechia,1999,8956,27583,5289,6870,2738,2473,548,2317,23145,19307,9120,16297,22,486,1292,0,1,0,4
Czechia,2000,8774,27478,5242,6998,2749,2444,531,2272,22925,19333,8933,16396,23,499,1273,0,1,0,3
Czechia,2001,8653,27482,5185,7040,2747,2410,509,2246,22351,19419,8802,16431,23,514,1259,0,1,0,3
Czechia,2002,8466,26650,5100,7098,2713,2370,518,2165,22324,19415,8598,16115,23,514,1208,0,1,0,3
Czechia,2003,8575,26887,5190,7368,2773,2417,531,2173,22832,20121,8701,16414,24,542,1215,0,1,0,3
Czechia,2004,8190,25645,4992,7218,2672,2332,510,2071,22119,19658,8302,15810,24,538,1138,0,1,0,3
Czechia,2005,8075,25270,4967,7193,2653,2325,518,2045,21928,19831,8182,15729,25,549,1083,0,1,0,3
Czechia,2006,7754,24167,4798,6969,2552,2258,502,1962,21235,19392,7851,15238,25,544,1010,0,1,0,4
Czechia,2007,7682,23750,4780,6935,2528,2269,495,1943,21219,19547,7773,15211,25,557,975,0,1,0,4
Czechia,2008,7680,23675,4809,6924,2530,2293,497,1940,21298,19889,7768,15329,26,567,967,0,1,0,4
Czechia,2009,7628,23522,4801,6822,2512,2299,499,1927,21191,20120,7713,15358,27,568,949,0,1,0,4
Czechia,2010,7585,23489,4819,6772,2509,2309,493,1931,21162,20432,7665,15486,27,570,953,0,1,0,4
Czechia,2011,7533,23656,4868,6717,2519,2321,493,1956,21099,20929,7608,15758,28,578,955,0,1,0,3
Czechia,2012,7358,23652,4877,6628,2509,2313,492,1963,20910,21316,7427,15921,29,593,958,0,1,0,3
Czechia,2013,7140,23584,4867,6544,2493,2312,487,1962,20750,21740,7204,16120,29,613,966,0,1,0,3
Czechia,2014,6786,23140,4772,6396,2433,2264,477,1925,20226,21691,6844,15991,30,619,967,0,1,0,3
Czechia,2015,6703,23607,4862,6460,2463,2307,474,1958,20408,22349,6760,16419,32,639,1002,0,1,0,3
Czechia,2016,6474,23632,4850,6479,2442,2304,479,1935,20287,22515,6527,16576,33,643,1008,0,1,0,3
Czechia,2017,6387,23972,4904,6592,2443,2330,467,1934,20439,22836,6440,16848,34,655,1023,0,1,0,3
Czechia,2018,6557,24721,5053,6700,2489,2377,468,1962,20770,23488,6606,17324,33,662,1060,0,0,0,3
Czechia,2019,6562,24817,5058,6728,2469,2390,465,1929,20716,23555,6607,17453,33,663,1068,0,0,0,2
Democratic Republic of Congo,1990,5825,30695,2632,11042,2522,2058,16441,47,11791,14593,63860,11154,25522,488,1149,5207,15327,340,9368
Democratic Republic of Congo,1991,6055,31946,2764,11001,2693,2106,19711,51,11879,15161,65055,11513,26283,573,1188,5220,15601,356,9716
Democratic Republic of Congo,1992,6192,33010,2877,10836,2849,2141,23089,56,11901,15669,66032,11760,26960,661,1225,5285,15904,370,10023
Democratic Republic of Congo,1993,6320,33829,2964,10756,2986,2167,26426,61,11822,16073,66990,11884,27925,748,1250,5424,16368,393,10531
Democratic Republic of Congo,1994,6438,34958,3084,10362,3159,2207,29621,68,11934,16672,68386,12115,30463,834,1288,5898,17415,460,12156
Democratic Republic of Congo,1995,6592,36274,3227,10324,3363,2250,32590,76,12146,17383,69673,12411,30368,919,1345,5846,17317,445,11840
Democratic Republic of Congo,1996,6725,38135,3422,10217,3634,2307,35214,90,12441,18381,71439,12819,32298,997,1449,6194,17931,489,12906
Democratic Republic of Congo,1997,6687,38197,3450,9532,3732,2281,37262,105,12250,18648,71628,12412,34103,1058,1421,6235,18048,535,14048
Democratic Republic of Congo,1998,6661,39283,3573,9118,3939,2290,39026,127,12300,19383,72675,12294,36464,1114,1479,6607,18544,584,15426
Democratic Republic of Congo,1999,6646,40197,3678,8765,4124,2296,40362,150,12302,19999,73652,12096,37470,1160,1506,7040,18803,590,15742
Democratic Republic of Congo,2000,6574,41341,3798,8522,4310,2319,41353,172,12364,20646,75154,11989,38712,1196,1556,6857,18424,606,15963
Democratic Republic of Congo,2001,6515,42498,3916,8312,4486,2331,41862,197,12394,21191,76238,11916,38663,1216,1611,6799,17948,603,15595
Democratic Republic of Congo,2002,6272,43170,3986,8073,4602,2306,42014,225,12209,21446,76654,11654,38264,1225,1631,7201,17942,626,15085
Democratic Republic of Congo,2003,6196,44756,4165,7888,4839,2320,41857,261,12425,22244,78109,11699,38199,1231,1728,6684,16825,677,14623
Democratic Republic of Congo,2004,6131,45445,4243,7600,4953,2281,41053,292,12286,22545,78113,11504,37163,1215,1760,6559,16141,700,13730
Democratic Republic of Congo,2005,6293,45889,4287,7544,5025,2247,39772,317,12142,22780,78171,11350,36815,1189,1784,5965,15100,723,13153
Democratic Republic of Congo,2006,6586,46842,4373,7803,5150,2242,38073,344,12245,23405,78797,11388,36775,1151,1826,5441,14215,740,12712
Democratic Republic of Congo,2007,6635,47682,4458,8162,5270,2228,36615,374,12350,24047,78970,11413,36800,1119,1882,5045,13462,749,12379
Democratic Republic of Congo,2008,6667,48878,4606,8680,5450,2229,35794,408,12642,24985,79329,11569,36503,1110,1949,4947,13000,711,11949
Democratic Republic of Congo,2009,6775,49594,4689,9184,5564,2216,34354,432,12831,25702,79214,11679,36212,1085,1994,4919,12704,670,11458
Democratic Republic of Congo,2010,7033,50135,4765,9633,5659,2200,32384,447,12972,26270,78670,11827,35330,1048,2040,5058,12557,633,10756
Democratic Republic of Congo,2011,7613,51114,4899,10239,5804,2192,31107,455,13277,27115,78060,12321,34214,1033,2099,5291,12433,630,10072
Democratic Republic of Congo,2012,8589,51813,5022,10971,5916,2193,29492,452,13554,27942,77494,13067,32976,1010,2136,4792,11480,641,9311
Democratic Republic of Congo,2013,9594,51994,5081,11733,5955,2178,27338,438,13720,28587,76222,13888,31342,975,2151,4057,10185,632,8460
Democratic Republic of Congo,2014,10387,52382,5173,12596,6015,2163,25348,426,13949,29311,74691,14833,29743,945,2216,3149,8597,582,7647
Democratic Republic of Congo,2015,10620,52820,5260,13229,6057,2137,23426,415,14081,29880,72695,15696,27904,911,2309,2461,7212,504,6819
Democratic Republic of Congo,2016,10572,53774,5389,13884,6143,2118,21062,409,14330,30664,70801,16735,26089,876,2346,2106,6180,424,6070
Democratic Republic of Congo,2017,10615,55073,5538,14573,6257,2116,17768,406,14675,31570,69446,17935,24314,827,2418,1771,5219,348,5243
Democratic Republic of Congo,2018,11328,57138,5777,15244,6469,2160,14682,413,15217,32830,69696,19373,22890,778,2514,1558,4597,288,4631
Democratic Republic of Congo,2019,12117,59047,5984,15684,6646,2185,13469,418,15717,33939,69503,20750,21535,769,2597,1570,4197,236,4073
Denmark,1990,3766,16437,2818,3259,1439,1418,359,1278,17462,3910,3769,4488,20,326,824,0,0,0,2
Denmark,1991,3644,16229,2788,3303,1394,1392,350,1240,17338,3944,3644,4461,21,341,836,0,0,0,2
Denmark,1992,3569,16280,2817,3386,1365,1386,341,1222,17458,4052,3568,4511,22,360,856,0,0,0,2
Denmark,1993,3525,16248,2842,3481,1329,1378,330,1200,17589,4158,3520,4557,23,383,884,0,0,0,1
Denmark,1994,3422,15991,2842,3573,1271,1353,489,1162,17612,4201,3416,4577,23,426,886,0,0,0,1
Denmark,1995,3348,15621,2810,3632,1206,1323,513,1113,17531,4232,3338,4551,23,437,897,0,0,0,1
Denmark,1996,3205,14858,2706,3667,1114,1270,431,1031,17141,4184,3195,4448,22,425,884,0,0,0,1
Denmark,1997,3053,14018,2593,3678,1015,1209,334,946,16682,4210,3041,4358,21,424,871,0,0,0,1
Denmark,1998,2917,13170,2467,3693,916,1147,298,860,16202,4203,2904,4258,19,420,841,0,0,0,1
Denmark,1999,2866,12907,2447,3810,861,1126,294,815,16198,4358,2854,4327,19,431,827,0,0,0,1
Denmark,2000,2718,12291,2341,3778,789,1065,261,747,15697,4361,2708,4213,19,418,783,0,0,0,1
Denmark,2001,2662,12247,2350,3855,757,1047,261,720,15704,4507,2654,4258,20,418,752,0,0,0,1
Denmark,2002,2607,11984,2314,3953,713,1022,258,676,15623,4600,2596,4273,23,419,710,0,0,0,1
Denmark,2003,2483,11444,2228,3984,656,976,259,621,15304,4549,2471,4199,24,420,676,0,0,0,1
Denmark,2004,2336,10855,2130,4005,604,924,249,567,14931,4468,2325,4107,25,424,641,0,0,0,1
Denmark,2005,2230,10302,2038,3999,564,875,236,522,14541,4396,2220,4009,25,430,616,0,0,0,1
Denmark,2006,2206,10006,1993,4031,544,853,224,495,14442,4426,2196,4006,26,443,608,0,0,0,1
Denmark,2007,2213,9713,1942,4017,524,828,229,469,14304,4460,2201,3995,28,453,589,0,0,0,1
Denmark,2008,2165,9306,1871,3945,500,796,218,440,14049,4438,2155,3925,28,465,570,0,0,0,1
Denmark,2009,2168,9069,1830,3864,487,778,223,420,13975,4477,2156,3915,29,476,552,0,0,0,1
Denmark,2010,2121,8760,1771,3768,471,753,223,397,13753,4450,2110,3873,29,475,537,0,0,0,1
Denmark,2011,2004,8402,1699,3633,455,726,206,376,13375,4408,1992,3792,29,469,529,0,0,0,1
Denmark,2012,1860,8200,1656,3535,449,709,209,362,13148,4434,1848,3766,29,459,524,0,0,0,1
Denmark,2013,1696,8042,1627,3450,447,699,209,352,12959,4478,1683,3753,29,456,519,0,0,0,1
Denmark,2014,1536,7885,1598,3373,446,684,197,343,12683,4493,1526,3730,29,453,514,0,0,0,1
Denmark,2015,1461,7887,1598,3344,450,679,204,340,12528,4562,1452,3759,29,447,513,0,0,0,1
Denmark,2016,1472,8103,1651,3373,464,688,204,351,12554,4707,1465,3856,29,450,530,0,0,0,1
Denmark,2017,1492,8289,1695,3407,478,697,205,358,12589,4853,1486,3947,30,453,543,0,0,0,1
Denmark,2018,1521,8479,1735,3456,491,707,207,364,12665,5045,1512,4035,30,456,554,0,0,0,1
Denmark,2019,1475,8695,1774,3524,504,718,207,369,12728,5281,1467,4128,30,458,568,0,0,0,1
Djibouti,1990,72,191,25,56,38,55,25,14,142,87,443,36,312,2,6,58,168,15,157
Djibouti,1991,75,201,27,55,39,57,27,15,150,92,447,37,310,2,7,59,176,14,149
Djibouti,1992,79,213,28,55,42,60,32,15,161,98,451,40,312,2,7,62,182,14,145
Djibouti,1993,86,228,30,59,45,63,41,17,176,107,467,43,352,2,8,66,197,16,170
Djibouti,1994,92,236,32,60,46,65,56,17,183,112,472,45,327,3,8,58,184,14,147
Djibouti,1995,100,253,34,62,49,68,84,18,198,122,485,49,331,3,9,56,185,14,144
Djibouti,1996,108,266,36,63,52,69,126,19,208,129,490,53,325,3,9,55,182,13,139
Djibouti,1997,118,276,38,64,53,71,185,20,215,136,495,57,327,3,10,54,181,13,144
Djibouti,1998,133,293,41,67,57,74,264,21,228,147,508,63,321,4,11,52,177,12,135
Djibouti,1999,148,305,43,69,59,76,358,22,236,156,515,68,317,4,11,54,177,11,130
Djibouti,2000,162,317,45,71,61,78,463,23,245,165,518,73,315,4,12,54,177,11,126
Djibouti,2001,178,332,48,72,63,80,569,24,253,174,516,80,306,5,12,52,173,10,120
Djibouti,2002,198,351,51,73,66,83,661,26,261,184,512,90,296,5,13,48,166,9,114
Djibouti,2003,218,366,54,72,68,87,717,27,264,193,504,99,289,5,13,33,146,9,110
Djibouti,2004,245,397,59,75,73,94,777,28,280,209,514,115,293,6,14,23,135,9,107
Djibouti,2005,262,418,63,74,76,96,844,30,287,221,516,126,279,6,15,19,126,8,100
Djibouti,2006,277,436,66,76,79,98,885,31,294,232,526,136,279,7,27,12,115,8,101
Djibouti,2007,292,463,70,74,83,100,915,32,307,248,541,148,279,7,17,12,111,8,96
Djibouti,2008,305,488,74,73,87,102,943,33,318,263,553,161,273,7,17,14,110,7,90
Djibouti,2009,317,510,77,72,90,102,973,34,326,276,562,172,267,8,19,11,101,7,86
Djibouti,2010,333,539,82,72,95,105,1008,35,340,294,579,187,272,8,19,12,101,7,88
Djibouti,2011,349,567,86,73,99,106,1035,37,355,310,590,203,263,9,20,14,101,6,79
Djibouti,2012,364,596,91,74,104,106,1040,39,369,328,603,220,260,9,21,14,98,6,75
Djibouti,2013,380,624,95,75,108,107,1038,41,384,346,616,238,257,10,22,12,90,5,72
Djibouti,2014,388,643,98,73,110,106,1034,42,393,359,617,251,244,10,23,12,84,5,65
Djibouti,2015,401,676,103,75,116,107,1019,44,411,378,628,271,240,11,24,10,76,4,61
Djibouti,2016,411,705,108,77,120,108,999,46,426,395,632,288,240,11,25,5,64,5,58
Djibouti,2017,424,745,114,82,126,110,980,49,448,418,637,311,238,13,26,5,59,4,55
Djibouti,2018,442,788,121,86,133,113,959,52,470,443,648,336,232,14,28,5,54,4,50
Djibouti,2019,460,828,127,90,139,116,950,55,491,467,658,360,228,14,39,4,49,4,46
Dominica,1990,24,150,32,27,1,8,13,2,46,123,61,82,4,1,2,0,0,0,1
Dominica,1991,25,153,33,28,1,8,12,1,46,128,60,86,4,1,2,0,0,0,1
Dominica,1992,26,149,32,29,1,8,12,1,45,127,56,85,4,1,2,0,0,0,1
Dominica,1993,27,148,32,29,1,8,13,1,44,129,54,86,4,1,2,0,0,0,1
Dominica,1994,28,148,33,29,1,8,13,1,43,132,53,88,4,1,3,0,0,0,1
Dominica,1995,28,148,33,29,1,8,13,1,43,134,52,90,4,1,3,0,0,0,0
Dominica,1996,29,148,33,29,1,8,14,1,42,135,50,91,4,1,3,0,0,0,0
Dominica,1997,30,146,32,28,1,8,13,1,41,134,48,91,4,1,3,0,0,0,0
Dominica,1998,30,146,32,29,1,8,13,1,39,134,47,91,4,1,4,0,0,0,0
Dominica,1999,31,149,33,27,1,8,14,1,39,138,46,94,4,1,3,0,0,0,0
Dominica,2000,31,149,32,27,1,8,15,1,38,138,45,95,4,1,3,0,0,0,0
Dominica,2001,31,148,31,27,1,8,15,1,38,137,43,96,4,1,3,0,0,0,0
Dominica,2002,30,148,31,27,1,8,14,1,38,137,42,98,4,1,3,0,0,0,0
Dominica,2003,30,149,31,28,1,8,14,1,38,137,40,100,4,1,3,0,0,0,0
Dominica,2004,29,145,30,28,1,8,14,1,37,134,38,99,3,1,3,0,0,0,0
Dominica,2005,29,142,29,27,1,8,12,1,36,132,37,98,3,1,3,0,0,0,0
Dominica,2006,29,143,29,28,1,8,12,1,36,132,37,99,3,1,3,0,0,0,0
Dominica,2007,29,143,29,28,1,7,12,1,36,132,36,100,3,1,3,0,0,0,0
Dominica,2008,29,142,28,28,1,7,12,1,36,130,36,100,3,1,3,0,0,0,0
Dominica,2009,29,142,28,29,1,7,12,1,36,130,35,101,3,1,3,0,0,0,0
Dominica,2010,29,143,28,29,1,7,12,1,36,130,35,102,3,1,3,0,0,0,0
Dominica,2011,30,145,28,30,1,7,12,1,37,131,36,104,3,1,3,0,0,0,0
Dominica,2012,31,147,28,30,1,7,12,1,38,132,36,106,3,1,3,0,0,0,0
Dominica,2013,32,149,28,30,1,7,12,1,38,133,37,108,3,1,3,0,0,0,0
Dominica,2014,33,150,28,31,1,8,13,1,39,133,38,110,3,1,3,0,0,0,0
Dominica,2015,33,151,28,33,1,8,13,1,39,134,38,111,3,1,3,0,0,0,0
Dominica,2016,32,151,28,31,1,8,12,1,39,134,37,112,3,1,3,0,0,0,0
Dominica,2017,31,151,29,34,1,8,12,1,40,135,36,113,3,1,3,0,0,0,0
Dominica,2018,32,152,29,31,1,8,12,1,41,136,36,114,3,1,3,0,0,0,0
Dominica,2019,33,153,29,32,1,8,12,1,41,138,37,115,3,1,3,0,0,0,0
Dominican Republic,1990,715,4489,865,1665,165,485,489,148,2634,1782,3527,1790,1199,64,133,62,357,197,1053
Dominican Republic,1991,720,4483,865,1702,174,490,672,134,2654,1802,3384,1800,1193,70,130,62,339,197,1046
Dominican Republic,1992,727,4495,867,1740,183,487,918,123,2675,1829,3232,1814,1150,79,136,61,308,185,984
Dominican Republic,1993,758,4656,901,1799,196,497,1221,116,2777,1920,3184,1894,1108,91,139,56,280,170,917
Dominican Republic,1994,785,4719,917,1858,202,498,1533,108,2838,1964,3076,1920,1050,104,152,51,250,156,842
Dominican Republic,1995,833,4922,958,1930,211,510,1853,104,2971,2062,3054,1993,997,119,155,46,224,146,772
Dominican Republic,1996,911,5316,1031,2049,225,531,2162,104,3204,2240,3103,2139,924,133,193,41,193,130,680
Dominican Republic,1997,1009,5743,1105,2126,237,550,2435,103,3439,2434,3175,2303,869,146,186,36,169,116,614
Dominican Republic,1998,1107,6093,1162,2219,245,558,2656,100,3629,2597,3207,2439,808,156,201,32,146,103,551
Dominican Republic,1999,1212,6439,1214,2243,249,562,2820,98,3804,2747,3229,2542,747,165,212,27,127,90,485
Dominican Republic,2000,1281,6651,1232,2231,249,557,2950,95,3878,2837,3193,2607,705,171,222,23,114,80,437
Dominican Republic,2001,1380,6948,1270,2244,253,564,3042,94,4017,2990,3197,2766,646,176,231,18,100,67,384
Dominican Republic,2002,1488,7290,1323,2307,258,578,3108,93,4215,3188,3202,3031,588,182,239,14,88,57,336
Dominican Republic,2003,1671,8042,1442,2414,273,619,3174,98,4581,3563,3352,3450,573,187,259,12,83,49,309
Dominican Republic,2004,1875,8991,1598,2569,292,672,3182,105,5030,4039,3556,3942,571,192,283,10,80,43,292
Dominican Republic,2005,2026,9645,1705,2591,301,704,3054,108,5349,4405,3658,4346,545,190,293,8,72,36,264
Dominican Republic,2006,2152,10056,1784,2612,300,725,2826,107,5605,4686,3713,4706,509,182,301,6,63,30,231
Dominican Republic,2007,2249,10403,1846,2604,294,734,2555,106,5779,4952,3714,4978,479,172,297,5,56,26,204
Dominican Republic,2008,2325,10788,1904,2579,285,739,2325,105,5939,5228,3690,5219,458,164,304,4,48,23,177
Dominican Republic,2009,2419,11253,1973,2582,279,750,2223,105,6111,5545,3714,5462,455,162,309,3,43,21,163
Dominican Republic,2010,2515,11621,2033,2593,273,759,2181,105,6250,5822,3764,5664,458,164,315,3,41,20,155
Dominican Republic,2011,2660,11931,2089,2657,269,774,2145,104,6417,6090,3880,5921,494,169,321,4,44,24,180
Dominican Republic,2012,2937,12705,2232,2843,274,822,2119,108,6847,6627,4160,6472,528,178,348,4,45,25,191
Dominican Republic,2013,3262,13652,2411,3062,284,884,2114,112,7362,7283,4499,7155,523,192,363,3,40,20,161
Dominican Republic,2014,3502,14420,2552,3243,289,927,2083,116,7758,7854,4733,7750,521,203,378,2,35,18,143
Dominican Republic,2015,3709,15119,2684,3415,294,970,2007,119,8116,8384,4953,8301,523,213,392,2,33,18,138
Dominican Republic,2016,3776,15431,2749,3548,291,992,1942,119,8262,8711,4962,8681,510,223,394,2,31,18,134
Dominican Republic,2017,3750,15445,2754,3599,283,992,1887,118,8223,8877,4830,8831,485,230,390,2,27,16,121
Dominican Republic,2018,3776,15479,2765,3652,275,993,1808,117,8200,9091,4780,8968,467,236,388,2,25,15,114
Dominican Republic,2019,3832,15595,2789,3722,269,999,1766,116,8202,9385,4766,9134,454,244,387,2,23,15,109
East Asia & Pacific (WB),1990,792223,1973214,210099,528615,297249,523842,55071,73383,2171939,783150,2470576,387912,139031,110484,56573,21453,140216,5542,113390
East Asia & Pacific (WB),1991,819045,2008666,214858,538939,299345,527791,56960,73402,2233741,814678,2469427,398721,132227,117853,57871,19706,132354,5071,107342
East Asia & Pacific (WB),1992,853587,2044674,219622,547586,302029,530248,59861,73205,2296723,849567,2470364,411648,125132,123914,59168,18045,123215,4529,100251
East Asia & Pacific (WB),1993,886122,2077852,224452,554742,305119,530820,64306,72866,2353865,883096,2465597,425726,117333,129398,60901,16398,113480,4058,93410
East Asia & Pacific (WB),1994,917282,2095738,227539,561271,306563,527173,69373,71992,2398763,909680,2446026,438354,110758,135731,62406,14943,104035,3693,86522
East Asia & Pacific (WB),1995,946803,2125337,232300,569521,309547,522208,74987,71639,2451576,936416,2426522,453879,103502,141681,63993,13500,94489,3340,79023
East Asia & Pacific (WB),1996,982959,2158954,237844,572432,312923,518178,81216,71371,2495697,962404,2415699,471218,95940,145579,65505,12096,85283,3010,72089
East Asia & Pacific (WB),1997,1020405,2185206,242622,570364,314993,510107,87041,70857,2527017,983458,2391013,488740,88843,147277,66898,10857,76596,2708,65239
East Asia & Pacific (WB),1998,1057348,2228656,250392,575712,319515,504272,93276,71100,2582957,1013838,2376602,511909,83238,150825,68628,9695,68655,2480,59133
East Asia & Pacific (WB),1999,1115065,2305812,261934,584689,327630,505258,100170,72468,2654372,1058281,2397355,542904,78383,152529,71466,8225,60708,2280,53594
East Asia & Pacific (WB),2000,1165362,2394688,276178,596339,338223,508900,107143,75343,2737235,1108970,2429796,573405,73412,152792,74599,7366,54271,2075,48278
East Asia & Pacific (WB),2001,1205614,2466876,289899,602274,345518,508069,113752,78502,2784750,1163761,2440473,598058,68514,147352,77537,6667,48560,1918,43259
East Asia & Pacific (WB),2002,1250973,2559566,306526,613231,353716,510553,120001,82508,2840559,1241391,2463353,629102,64563,140244,82477,6065,43623,1788,38974
